sentence_id,sentence,code_switch,all_aspects,all_opinions,valence_scores,arousal_scores
1,sanatan 0809 tiding luna in ham bowling krte hai aap apne stump bhjao,sanatan:HI 0809:HI tiding:EN luna:EN in:EN ham:HI bowling:EN krte:HI hai:HI aap:HI apne:HI stump:EN bhjao:HI,{bowling; stump},{ham bowling krte hai; apne stump bhjao},{0.592; 0.475},{0.369; 0.480}
2,aap ne kaha tha apne video main ki koi video share kare him toh yeh link hai aap aksar poochti hai maulana saab se ki aurat ko jannat main kya mile ga ismain maulana ne yah bataya hai thodi funny bhi hai beech beech main,aap:HI ne:HI kaha:HI tha:HI apne:HI video:EN main:HI ki:HI koi:HI video:EN share:EN kare:HI him:EN toh:HI yeh:HI link:EN hai:HI aap:HI aksar:HI poochti:HI hai:HI maulana:HI saab:HI se:HI ki:HI aurat:HI ko:HI jannat:HI main:HI kya:HI mile:HI ga:HI ismain:HI maulana:HI ne:HI yah:HI bataya:HI hai:HI thodi:HI funny:EN bhi:HI hai:HI beech:EN beech:EN main:HI,{video},{thodi funny bhi hai beech beech main},{0.705},{0.365}
3,gill main first time bb13 ko apne friends ke yaha dekhi mujhe bigboss me koi intrest nahi tha but jaise hi shehnaaz ki entry huwi us din se bb13 ke har ek episodes dekhi but aaj bhi main bigboss house me shehnaaz ko hi dhoondhti hoo i miss you shehnaaz and miss you bb13 shehnaazgiii,gill:EN main:HI first:EN time:EN bb13:HI ko:HI apne:HI friends:EN ke:HI yaha:HI dekhi:HI mujhe:HI bigboss:HI me:HI koi:HI intrest:EN nahi:HI tha:HI but:EN jaise:HI hi:HI shehnaaz:HI ki:HI entry:EN huwi:HI us:HI din:HI se:HI bb13:HI ke:HI har:HI ek:HI episodes:EN dekhi:HI but:EN aaj:HI bhi:HI main:HI bigboss:HI house:EN me:HI shehnaaz:HI ko:HI hi:HI dhoondhti:HI hoo:HI i:EN miss:EN you:EN shehnaaz:HI and:EN miss:EN you:EN bb13:HI shehnaazgiii:HI,{shehnaaz ki entry; shehnaaz; bb13},{us din se bb13 ke har ek episodes dekhi; i miss you shehnaaz; miss you bb13},{0.702; 0.746; 0.686},{0.579; 0.570; 0.545}
4,ek nari ko duniya ke samne apne nagan sarir ko pradarshan karna sobha nahi deta aisi isthiti kewal band kamre me apne pati ke sath hona chahiye apke pass srif 3 din hai ye sab rok do hari om namo narayan thanks,ek:HI nari:HI ko:HI duniya:HI ke:HI samne:HI apne:HI nagan:EN sarir:EN ko:HI pradarshan:HI karna:HI sobha:HI nahi:HI deta:HI aisi:HI isthiti:HI kewal:HI band:HI kamre:HI me:HI apne:HI pati:HI ke:HI sath:HI hona:HI chahiye:HI apke:HI pass:EN srif:HI 3:EN din:HI hai:HI ye:HI sab:HI rok:HI do:EN hari:HI om:HI namo:EN narayan:HI thanks:EN,{nagan sarir ko pradarshan; ye sab},{sobha nahi deta; srif 3 din hai ye sab rok do},{0.150; 0.328},{0.700; 0.666}
5,jatti7 ki ho gea sadi stubborn jatti sad it doesn t look nyc eh tn hasdi wadia lgdi apne gang nal,jatti7:HI ki:HI ho:HI gea:HI sadi:HI stubborn:EN jatti:HI sad:EN it:EN doesn:EN t:EN look:EN nyc:EN eh:EN tn:EN hasdi:HI wadia:HI lgdi:HI apne:HI gang:EN nal:HI,{jatti; hasdi},{sad it doesn t look nyc; wadia lgdi apne gang nal},{0.368; 0.533},{0.428; 0.725}
6,when i send this i mean this haan maalum hai chal apne baap ko mat sikha,when:EN i:EN send:EN this:EN i:EN mean:EN this:EN haan:HI maalum:HI hai:HI chal:HI apne:HI baap:HI ko:HI mat:HI sikha:HI,{this; sikha},{i mean this; haan maalum hai chal apne baap ko mat sikha},{0.485; 0.330},{0.492; 0.485}
7,sanvee arre haan yaar agar ek baar hindu saare marne pe utre na to saale jo ye uchalte h na chup chap apne gharo me baithenge,sanvee:HI arre:HI haan:HI yaar:HI agar:HI ek:HI baar:HI hindu:EN saare:HI marne:HI pe:HI utre:HI na:HI to:HI saale:HI jo:HI ye:HI uchalte:HI h:EN na:HI chup:HI chap:EN apne:HI gharo:HI me:HI baithenge:HI,{hindu; ye jo uchalte h},{saare marne pe utre; chup chap apne gharo me baithenge},{0.250; 0.350},{0.850; 0.605}
8,phir tere katora khan ne kyu li vaccine bhikari tum logo ne terrorist ke alwa kuch banaya hai aajtak vaccine ki bhi bhik mang rahe kabhi humse kabhi apne dusare baap china se apni betiyon ko bech diya china me areee sharam kar kuch betiyon ki haram ki kmayi se desh chala rahe,phir:HI tere:HI katora:HI khan:EN ne:HI kyu:HI li:HI vaccine:EN bhikari:HI tum:HI logo:EN ne:HI terrorist:EN ke:HI alwa:HI kuch:HI banaya:HI hai:HI aajtak:HI vaccine:EN ki:HI bhi:HI bhik:HI mang:HI rahe:HI kabhi:HI humse:HI kabhi:HI apne:HI dusare:HI baap:HI china:EN se:HI apni:HI betiyon:HI ko:HI bech:HI diya:HI china:EN me:HI areee:HI sharam:HI kar:HI kuch:HI betiyon:HI ki:HI haram:HI ki:HI kmayi:HI se:HI desh:HI chala:HI rahe:HI,{katora khan; vaccine; betiyon; desh},{ne kyu li vaccine bhikari; ki bhi bhik mang rahe; ko bech diya china me; haram ki kmayi se desh chala rahe},{0.275; 0.080; 0.301; 0.060},{0.710; 0.880; 0.681; 0.890}
9,dwary ye adhikari apne power ka galat use kr rha hai mukhyamantri ji ispe action lijiye,dwary:HI ye:HI adhikari:HI apne:HI power:EN ka:HI galat:HI use:HI kr:EN rha:HI hai:HI mukhyamantri:EN ji:HI ispe:HI action:EN lijiye:HI,{adhikari; mukhyamantri ji},{power ka galat use kr rha hai; ispe action lijiye},{0.364; 0.580},{0.632; 0.774}
10,aa gaya na apne idol wale form mein haan ab tera fc aur tera idol tere liye kuch to kar denge,aa:HI gaya:HI na:HI apne:HI idol:EN wale:HI form:EN mein:HI haan:HI ab:HI tera:HI fc:EN aur:HI tera:HI idol:EN tere:HI liye:HI kuch:HI to:EN kar:HI denge:HI,{form; fc; idol},{aa gaya na apne idol wale; tere liye kuch to kar denge; tere liye kuch to kar denge},{0.180; 0.200; 0.200},{0.720; 0.650; 0.650}
11,d h nair koi apne jeb se nahin deta owaisi bhi nahin deta,d:EN h:EN nair:HI koi:HI apne:HI jeb:HI se:HI nahin:HI deta:HI owaisi:EN bhi:HI nahin:HI deta:HI,{d h nair; owaisi},{apne jeb se nahin deta; bhi nahin deta},{0.350; 0.350},{0.450; 0.450}
12,in se poochain ke jb last tym 3rd wave jb cambridge bachon ke exam ho rhe te toh 3000case pr apne exam cancel krdiyay the right then whats about now we r not bache jaisay woh bache the,in:EN se:HI poochain:HI ke:HI jb:EN last:EN tym:HI 3rd:EN wave:EN jb:EN cambridge:EN bachon:HI ke:HI exam:EN ho:HI rhe:HI te:HI toh:HI 3000case:HI pr:EN apne:HI exam:EN cancel:EN krdiyay:HI the:EN right:EN then:EN whats:EN about:EN now:EN we:EN r:EN not:EN bache:HI jaisay:HI woh:HI bache:HI the:HI,{exam},{whats about now we r not bache jaisay woh bache the},{0.220},{0.780}
13,mere taraf se bhi fuck off kah dena apne relatives ko compliment samjh sakti ho,mere:HI taraf:HI se:HI bhi:HI fuck:EN off:EN kah:HI dena:HI apne:HI relatives:EN ko:HI compliment:EN samjh:HI sakti:HI ho:HI,{relatives},{fuck off kah dena},{0.150},{0.820}
14,iz back o bhai jan international stats compare krke fakhar or apne abu fixer ke tere ghr walon me tujhe tameez sikhai hoti na to tujhe pta hota fixer ko abu nai bbanate or jo fixer ko abu banate hen wo khud bhi apni country ke saath do numberi krsakte hen,iz:EN back:EN o:EN bhai:HI jan:HI international:EN stats:EN compare:EN krke:HI fakhar:EN or:EN apne:HI abu:HI fixer:EN ke:HI tere:HI ghr:HI walon:HI me:HI tujhe:HI tameez:HI sikhai:HI hoti:HI na:HI to:HI tujhe:HI pta:HI hota:HI fixer:EN ko:HI abu:HI nai:HI bbanate:HI or:EN jo:HI fixer:EN ko:HI abu:HI banate:HI hen:HI wo:HI khud:HI bhi:HI apni:HI country:EN ke:HI saath:HI do:HI numberi:HI krsakte:HI hen:HI,{international stats; ghr walon; fixer},{compare krke; tameez sikhai hoti na; abu nai bbanate},{0.451; 0.150; 0.100},{0.454; 0.750; 0.800}
