sentence_id,annotation_type,annotation_text,start_token,end_token,alignment_status,is_training_safe,candidate_span,reason
1,aspect,bowling,6,6,exact,True,bowling,Matched via exact strategy
1,opinion,ham bowling krte hai,5,8,exact,True,ham bowling krte hai,Matched via exact strategy
1,aspect,stump,11,11,exact,True,stump,Matched via exact strategy
1,opinion,apne stump bhjao,10,12,exact,True,apne stump bhjao,Matched via exact strategy
2,aspect,video,5,5,exact,True,video,Matched via exact strategy
2,opinion,thodi funny bhi hai beech beech main,38,44,exact,True,thodi funny bhi hai beech beech main,Matched via exact strategy
3,aspect,shehnaaz ki entry,21,23,exact,True,shehnaaz ki entry,Matched via exact strategy
3,opinion,us din se bb13 ke har ek episodes dekhi,25,33,exact,True,us din se bb13 ke har ek episodes dekhi,Matched via exact strategy
3,aspect,shehnaaz,21,21,exact,True,shehnaaz,Matched via exact strategy
3,opinion,i miss you shehnaaz,46,49,exact,True,i miss you shehnaaz,Matched via exact strategy
3,aspect,bb13,4,4,exact,True,bb13,Matched via exact strategy
3,opinion,miss you bb13,51,53,exact,True,miss you bb13,Matched via exact strategy
4,aspect,nagan sarir ko pradarshan,7,10,exact,True,nagan sarir ko pradarshan,Matched via exact strategy
4,opinion,sobha nahi deta,12,14,exact,True,sobha nahi deta,Matched via exact strategy
4,aspect,ye sab,33,34,exact,True,ye sab,Matched via exact strategy
4,opinion,srif 3 din hai ye sab rok do,29,36,exact,True,srif 3 din hai ye sab rok do,Matched via exact strategy
5,aspect,jatti,6,6,exact,True,jatti,Matched via exact strategy
5,opinion,sad it doesn t look nyc,7,12,exact,True,sad it doesn t look nyc,Matched via exact strategy
5,aspect,hasdi,15,15,exact,True,hasdi,Matched via exact strategy
5,opinion,wadia lgdi apne gang nal,16,20,exact,True,wadia lgdi apne gang nal,Matched via exact strategy
6,aspect,this,3,3,exact,True,this,Matched via exact strategy
6,opinion,i mean this,4,6,exact,True,i mean this,Matched via exact strategy
6,aspect,sikha,15,15,exact,True,sikha,Matched via exact strategy
6,opinion,haan maalum hai chal apne baap ko mat sikha,7,15,exact,True,haan maalum hai chal apne baap ko mat sikha,Matched via exact strategy
7,aspect,hindu,7,7,exact,True,hindu,Matched via exact strategy
7,opinion,saare marne pe utre,8,11,exact,True,saare marne pe utre,Matched via exact strategy
7,aspect,ye jo uchalte h,15,18,approximate,False,jo ye uchalte h,Matched via approximate strategy
7,opinion,chup chap apne gharo me baithenge,20,25,exact,True,chup chap apne gharo me baithenge,Matched via exact strategy
8,aspect,katora khan,2,3,exact,True,katora khan,Matched via exact strategy
8,opinion,ne kyu li vaccine bhikari,4,8,exact,True,ne kyu li vaccine bhikari,Matched via exact strategy
8,aspect,vaccine,7,7,exact,True,vaccine,Matched via exact strategy
8,opinion,ki bhi bhik mang rahe,20,24,exact,True,ki bhi bhik mang rahe,Matched via exact strategy
8,aspect,betiyon,34,34,exact,True,betiyon,Matched via exact strategy
8,opinion,ko bech diya china me,35,39,exact,True,ko bech diya china me,Matched via exact strategy
8,aspect,desh,50,50,exact,True,desh,Matched via exact strategy
8,opinion,haram ki kmayi se desh chala rahe,46,52,exact,True,haram ki kmayi se desh chala rahe,Matched via exact strategy
9,aspect,adhikari,2,2,exact,True,adhikari,Matched via exact strategy
9,opinion,power ka galat use kr rha hai,4,10,exact,True,power ka galat use kr rha hai,Matched via exact strategy
9,aspect,mukhyamantri ji,11,12,exact,True,mukhyamantri ji,Matched via exact strategy
9,opinion,ispe action lijiye,13,15,exact,True,ispe action lijiye,Matched via exact strategy
10,aspect,form,6,6,exact,True,form,Matched via exact strategy
10,opinion,aa gaya na apne idol wale,0,5,exact,True,aa gaya na apne idol wale,Matched via exact strategy
10,aspect,fc,11,11,exact,True,fc,Matched via exact strategy
10,opinion,tere liye kuch to kar denge,15,20,exact,True,tere liye kuch to kar denge,Matched via exact strategy
10,aspect,idol,4,4,exact,True,idol,Matched via exact strategy
10,opinion,tere liye kuch to kar denge,15,20,exact,True,tere liye kuch to kar denge,Matched via exact strategy
11,aspect,d h nair,0,2,exact,True,d h nair,Matched via exact strategy
11,opinion,apne jeb se nahin deta,4,8,exact,True,apne jeb se nahin deta,Matched via exact strategy
11,aspect,owaisi,9,9,exact,True,owaisi,Matched via exact strategy
11,opinion,bhi nahin deta,10,12,exact,True,bhi nahin deta,Matched via exact strategy
12,aspect,exam,13,13,exact,True,exam,Matched via exact strategy
12,opinion,whats about now we r not bache jaisay woh bache the,27,37,exact,True,whats about now we r not bache jaisay woh bache the,Matched via exact strategy
13,aspect,relatives,9,9,exact,True,relatives,Matched via exact strategy
13,opinion,fuck off kah dena,4,7,exact,True,fuck off kah dena,Matched via exact strategy
14,aspect,international stats,5,6,exact,True,international stats,Matched via exact strategy
14,opinion,compare krke,7,8,exact,True,compare krke,Matched via exact strategy
14,aspect,ghr walon,16,17,exact,True,ghr walon,Matched via exact strategy
14,opinion,tameez sikhai hoti na,20,23,exact,True,tameez sikhai hoti na,Matched via exact strategy
14,aspect,fixer,13,13,exact,True,fixer,Matched via exact strategy
14,opinion,abu nai bbanate,30,32,exact,True,abu nai bbanate,Matched via exact strategy
15,aspect,jawaid bhai,11,12,exact,True,jawaid bhai,Matched via exact strategy
15,opinion,view k chakkar or paise ki laalach me india chle gye apne kafil ko dhoka dekar,0,17,approximate,False,view k chakkar or paise ki laalach me india chle gye jawaid bhai apne kafil ko dhoka dekar,Matched via approximate strategy
15,aspect,news,21,21,exact,True,news,Matched via exact strategy
15,opinion,ek hi news bar bar repeat krna inke liye kon c badi baat h,19,32,exact,True,ek hi news bar bar repeat krna inke liye kon c badi baat h,Matched via exact strategy
16,aspect,neta,6,6,exact,True,neta,Matched via exact strategy
16,opinion,apne party ke bade neta nahi hua oh humara kya hoga,2,12,exact,True,apne party ke bade neta nahi hua oh humara kya hoga,Matched via exact strategy
17,aspect,idol,3,3,exact,True,idol,Matched via exact strategy
17,opinion,please gym jao is pic ke bad,6,12,exact,True,please gym jao is pic ke bad,Matched via exact strategy
18,aspect,kejriwal,4,4,exact,True,kejriwal,Matched via exact strategy
18,opinion,apne logon se laraya h,17,21,exact,True,apne logon se laraya h,Matched via exact strategy
18,aspect,fir,6,6,exact,True,fir,Matched via exact strategy
18,opinion,badi jaldi thi,8,10,exact,True,badi jaldi thi,Matched via exact strategy
19,aspect,pmln,7,7,exact,True,pmln,Matched via exact strategy
19,opinion,dno lollipop aik sth khana chati hai jo mumkin ni,29,38,exact,True,dno lollipop aik sth khana chati hai jo mumkin ni,Matched via exact strategy
19,aspect,vote mangna,13,14,exact,True,vote mangna,Matched via exact strategy
19,opinion,mushkil ho jayga,16,18,exact,True,mushkil ho jayga,Matched via exact strategy
20,aspect,raffle,0,0,exact,True,raffle,Matched via exact strategy
20,opinion,debets karle,2,3,exact,True,debets karle,Matched via exact strategy
20,aspect,dango,4,4,exact,True,dango,Matched via exact strategy
20,opinion,karle,3,3,exact,True,karle,Matched via exact strategy
20,aspect,chamcho,8,8,exact,True,chamcho,Matched via exact strategy
20,opinion,karle,3,3,exact,True,karle,Matched via exact strategy
20,aspect,pm care fund,11,13,exact,True,pm care fund,Matched via exact strategy
20,opinion,karl,15,15,exact,True,karl,Matched via exact strategy
20,aspect,mahangai,16,16,exact,True,mahangai,Matched via exact strategy
20,opinion,karle,3,3,exact,True,karle,Matched via exact strategy
20,aspect,sahi mudde,23,24,exact,True,sahi mudde,Matched via exact strategy
20,opinion,karle pahle,26,27,exact,True,karle pahle,Matched via exact strategy
21,aspect,democracy in china,5,7,exact,True,democracy in china,Matched via exact strategy
21,opinion,there is no democracy,2,5,exact,True,there is no democracy,Matched via exact strategy
21,aspect,chinese govt,12,13,exact,True,chinese govt,Matched via exact strategy
21,opinion,cant criticize,10,11,exact,True,cant criticize,Matched via exact strategy
21,aspect,indian demo,30,31,exact,True,indian demo,Matched via exact strategy
21,opinion,exercising maximum no of freedom,24,28,exact,True,exercising maximum no of freedom,Matched via exact strategy
21,aspect,apne thali main chhed karne bale,38,43,exact,True,apne thali main chhed karne bale,Matched via exact strategy
21,opinion,khud kyon nahi gold le aye,44,49,exact,True,khud kyon nahi gold le aye,Matched via exact strategy
22,aspect,talent,2,2,exact,True,talent,Matched via exact strategy
22,opinion,kami nhi,4,5,exact,True,kami nhi,Matched via exact strategy
22,aspect,corruption,7,7,exact,True,corruption,Matched via exact strategy
22,opinion,zero,8,8,exact,True,zero,Matched via exact strategy
22,aspect,kaam,12,12,exact,True,kaam,Matched via exact strategy
22,opinion,honestly krne lag jaye,13,16,exact,True,honestly krne lag jaye,Matched via exact strategy
23,aspect,yeh log,5,6,exact,True,yeh log,Matched via exact strategy
23,opinion,pata nahi apne ap ko kya smjhte hai,9,16,exact,True,pata nahi apne ap ko kya smjhte hai,Matched via exact strategy
23,aspect,nikkitamboli,34,34,exact,True,nikkitamboli,Matched via exact strategy
23,opinion,humko toh voh jo kare sahi lagta hai,23,30,exact,True,humko toh voh jo kare sahi lagta hai,Matched via exact strategy
24,aspect,central gov,0,1,exact,True,central gov,Matched via exact strategy
24,opinion,sports ke prati jagrit hona pdega,13,18,exact,True,sports ke prati jagrit hona pdega,Matched via exact strategy
24,aspect,state gov,4,5,exact,True,state gov,Matched via exact strategy
24,opinion,sports ke prati jagrit hona pdega,13,18,exact,True,sports ke prati jagrit hona pdega,Matched via exact strategy
24,aspect,samaj,10,10,exact,True,samaj,Matched via exact strategy
24,opinion,sports ke prati jagrit hona pdega,13,18,exact,True,sports ke prati jagrit hona pdega,Matched via exact strategy
24,aspect,parents,19,19,exact,True,parents,Matched via exact strategy
24,opinion,apne bacchon ka support amp uske sath hmesha khda rhna padega,22,32,exact,True,apne bacchon ka support amp uske sath hmesha khda rhna padega,Matched via exact strategy
24,aspect,sport,43,43,exact,True,sport,Matched via exact strategy
24,opinion,1 nhi bahut gold ayega,48,52,exact,True,1 nhi bahut gold ayega,Matched via exact strategy
25,aspect,kafil,2,2,exact,True,kafil,Matched via exact strategy
25,opinion,dhoka diya,5,6,exact,True,dhoka diya,Matched via exact strategy
25,aspect,plan,12,12,exact,True,plan,Matched via exact strategy
25,opinion,pehle se hi plan tha,9,13,exact,True,pehle se hi plan tha,Matched via exact strategy
25,aspect,haram ka paisa,25,27,exact,True,haram ka paisa,Matched via exact strategy
25,opinion,numaaish kr k haram ka paisa kamaana tha,22,29,exact,True,numaaish kr k haram ka paisa kamaana tha,Matched via exact strategy
25,aspect,halal ki roti,30,32,exact,True,halal ki roti,Matched via exact strategy
25,opinion,hazam nhi horahi thi,34,37,exact,True,hazam nhi horahi thi,Matched via exact strategy
26,aspect,asif,2,2,exact,True,asif,Matched via exact strategy
26,opinion,can be way better player at 4 agr aqal istimal kre,3,13,exact,True,can be way better player at 4 agr aqal istimal kre,Matched via exact strategy
26,aspect,ifti sohaib,16,17,exact,True,ifti sohaib,Matched via exact strategy
26,opinion,will still do better than asif at 6,18,25,exact,True,will still do better than asif at 6,Matched via exact strategy
26,aspect,azam asif,28,29,exact,True,azam asif,Matched via exact strategy
26,opinion,hain us position ke bs,30,34,exact,True,hain us position ke bs,Matched via exact strategy
26,aspect,ye sab,36,37,exact,True,ye sab,Matched via exact strategy
26,opinion,apne kaha team me hone chaye,38,43,exact,True,apne kaha team me hone chaye,Matched via exact strategy
27,aspect,cmt,2,2,exact,True,cmt,Matched via exact strategy
27,opinion,apki wajah se hi mere tl pe aaya tha,3,11,exact,True,apki wajah se hi mere tl pe aaya tha,Matched via exact strategy
27,aspect,ss,14,14,exact,True,ss,Matched via exact strategy
27,opinion,kyu lu mei,15,17,exact,True,kyu lu mei,Matched via exact strategy
27,aspect,rt,22,22,exact,True,rt,Matched via exact strategy
27,opinion,aise chacha se milti,19,23,approximate,False,aise chacha se rt milti,Matched via approximate strategy
28,aspect,sid sidhearts,0,1,exact,True,sid sidhearts,Matched via exact strategy
